# Recipe corpus. Nutrition is COMPUTED from ingredients + cooked yield, never typed.
# name|hindi|category|region|diet|class|servings|serving_unit|ingredients|steps|prep|cook|tags
# Drop additional corpora into data/recipes.d/*.psv using the same header order.
Baingan Bharta|बैंगन भर्ता|Punjabi|north|veg|vegetable|4|bowl|400g eggplant; 120g onion; 120g tomato; 25g mustard oil; 12g garlic; 8g ginger; 4g cumin seed; 5g salt; 10g coriander leaves|Roast eggplant over flame till charred; Peel and mash; Fry onion garlic ginger; Add tomato then mashed eggplant|10|30|smoky
Aloo Matar|आलू मटर|North Indian|north|veg|vegetable|4|bowl|250g potato; 150g green peas; 120g tomato; 100g onion; 25g sunflower oil; 4g cumin seed; 4g turmeric; 5g garam masala; 5g salt|Fry cumin; Add onion then tomato; Add potato peas and water; Simmer till done|10|25|everyday
Mixed Vegetable Curry|मिक्स वेज|North Indian|pan|veg|vegetable|4|bowl|120g carrot; 120g cauliflower; 100g green peas; 100g potato; 120g tomato; 100g onion; 30g sunflower oil; 5g garam masala; 6g salt|Chop vegetables evenly; Make onion tomato base; Add vegetables and simmer covered|15|25|everyday
Bhindi Do Pyaza|भिंडी दो प्याज़ा|North Indian|north|veg|vegetable|4|bowl|300g okra; 200g onion; 80g tomato; 30g mustard oil; 4g cumin seed; 5g coriander powder; 5g salt|Fry okra separately; Brown onions in two batches; Combine with spices|10|22|everyday
Aloo Jeera|आलू जीरा|North Indian|north|veg|vegetable|4|bowl|400g potato; 25g ghee; 6g cumin seed; 4g turmeric; 3g red chili powder; 5g salt; 10g coriander leaves|Boil and cube potatoes; Crackle cumin in ghee; Toss potatoes with spices|10|15|everyday,simple
Gobi Manchurian|गोभी मंचूरियन|Fast Food|pan|veg|street|4|plate|350g cauliflower; 60g maida; 30g rice raw; 60g sunflower oil; 100g onion; 60g capsicum; 12g garlic; 8g salt; 20g sugar|Make batter and coat florets; Deep fry till crisp; Toss in garlic sauce|15|25|indo-chinese
Veg Pulao|वेज पुलाव|North Indian|north|veg|mixed|4|bowl|300g rice raw; 500g water; 100g carrot; 80g green peas; 100g onion; 30g ghee; 5g garam masala; 6g salt; 20g cashew|Soak rice 20 minutes; Fry whole spices and onion in ghee; Add vegetables and rice; Cook with measured water|20|25|festival
Jeera Rice|जीरा चावल|North Indian|north|veg|grain|4|bowl|300g rice raw; 500g water; 25g ghee; 6g cumin seed; 5g salt|Soak rice; Crackle cumin in ghee; Add rice and water; Cook till fluffy|20|18|everyday
Lemon Rice|எலுமிச்சை சாதம்|South Indian|south|veg|grain|4|bowl|300g rice raw; 480g water; 40g lemon juice; 25g coconut oil; 5g mustard seed; 20g peanut; 15g curry leaves; 4g turmeric; 6g salt|Cook and cool rice; Temper mustard peanuts and curry leaves; Add turmeric and lemon juice; Fold rice through|10|15|tiffin
Curd Rice|தயிர் சாதம்|South Indian|south|veg|grain|4|bowl|250g rice raw; 500g water; 300g curd; 100g milk; 15g coconut oil; 4g mustard seed; 12g curry leaves; 5g salt|Cook rice soft and mash lightly; Cool then mix curd and milk; Temper and fold in|10|20|cooling
Tomato Rice|தக்காளி சாதம்|South Indian|south|veg|grain|4|bowl|280g rice raw; 450g water; 250g tomato; 100g onion; 25g coconut oil; 5g mustard seed; 12g curry leaves; 6g salt; 4g red chili powder|Cook rice and spread to cool; Make tomato onion masala; Fold rice in|10|20|tiffin
Vegetable Biryani|वेज बिरयानी|North Indian|north|veg|mixed|5|plate|400g rice raw; 600g water; 150g carrot; 100g green peas; 150g cauliflower; 150g onion; 100g curd; 50g ghee; 8g garam masala; 20g mint leaves; 8g salt|Par-cook rice with whole spices; Cook vegetables in curd masala; Layer and dum for 20 minutes|30|45|festival
Chicken Biryani|चिकन बिरयानी|North Indian|north|nonveg|mixed|5|plate|400g rice raw; 600g water; 600g chicken; 200g curd; 200g onion; 50g ghee; 10g garam masala; 20g ginger; 20g garlic; 25g mint leaves; 10g salt|Marinate chicken in curd and spices; Fry onions till brown; Layer rice over chicken; Dum cook 25 minutes|40|50|restaurant,hyderabadi
Egg Curry|अंडा करी|North Indian|pan|egg|egg|4|bowl|6 piece egg; 150g onion; 180g tomato; 30g sunflower oil; 12g garlic; 8g ginger; 5g garam masala; 6g salt|Boil and halve eggs; Cook onion tomato masala; Slide eggs in and simmer|10|25|everyday,protein
Egg Bhurji|अंडा भुर्जी|North Indian|pan|egg|egg|3|bowl|5 piece egg; 120g onion; 100g tomato; 25g sunflower oil; 20g green chili; 4g turmeric; 5g salt; 10g coriander leaves|Fry onion chili till soft; Add tomato and spices; Pour beaten eggs and scramble|5|12|street,protein
Butter Chicken|बटर चिकन|Punjabi|north|nonveg|meat|4|bowl|600g chicken; 300g tomato; 100g onion; 40g cashew; 50g butter; 80g cream; 100g curd; 12g garlic; 10g ginger; 6g garam masala; 8g salt|Marinate and grill chicken tikka; Blend tomato cashew gravy; Simmer with butter and cream; Add chicken|120|40|restaurant,creamy
Chicken Curry|चिकन करी|North Indian|pan|nonveg|meat|4|bowl|600g chicken; 200g onion; 200g tomato; 40g sunflower oil; 15g garlic; 12g ginger; 6g garam masala; 5g turmeric; 8g salt|Brown onions; Add ginger garlic then tomato; Add chicken and spices; Simmer covered|15|35|everyday
Chicken Tikka|चिकन टिक्का|Punjabi|north|nonveg|meat|4|piece|600g chicken; 150g curd; 25g mustard oil; 15g garlic; 12g ginger; 6g garam masala; 20g lemon juice; 7g salt|Marinate chicken 4 hours; Skewer and grill at high heat; Baste with oil; Finish with lemon|240|20|grilled,protein
Mutton Curry|मटन करी|North Indian|pan|nonveg|meat|4|bowl|600g mutton; 200g onion; 180g tomato; 45g mustard oil; 15g garlic; 12g ginger; 8g garam masala; 100g curd; 8g salt|Brown onions deeply; Add mutton and sear; Add curd tomato and spices; Pressure cook till tender|20|60|everyday
Fish Curry|मछली करी|Bengali|east|nonveg|seafood|4|bowl|500g fish rohu; 150g onion; 150g tomato; 35g mustard oil; 5g mustard seed; 12g garlic; 4g turmeric; 7g salt|Marinate fish in turmeric and salt; Shallow fry lightly; Make mustard onion gravy; Simmer fish briefly|15|25|bengali
Goan Fish Curry|गोवा फिश करी|Goan|west|nonveg|seafood|4|bowl|500g fish rohu; 200g coconut milk; 100g onion; 120g tomato; 30g coconut oil; 25g tamarind; 12g garlic; 5g turmeric; 7g salt|Grind coconut masala; Simmer with tamarind; Add fish and cook gently|15|25|coastal,coconut
Prawn Masala|झींगा मसाला|Goan|west|nonveg|seafood|4|bowl|400g prawn; 150g onion; 150g tomato; 30g coconut oil; 12g garlic; 10g ginger; 5g garam masala; 6g salt|Clean prawns; Make onion tomato masala; Add prawns and cook 6 minutes|20|15|coastal
Idli|इडली|South Indian|south|veg|grain|6|idli|200g rice raw; 100g urad dal; 400g water; 5g salt|Soak rice and dal separately; Grind to smooth batter; Ferment overnight; Steam 12 minutes|600|15|breakfast,steamed
Plain Dosa|डोसा|South Indian|south|veg|grain|6|dosa|300g rice raw; 100g urad dal; 500g water; 6g salt; 30g sunflower oil|Soak and grind rice and dal; Ferment 8 hours; Spread thin on hot tawa; Crisp with oil|600|20|breakfast
Masala Dosa|मसाला डोसा|South Indian|south|veg|grain|5|dosa|300g rice raw; 100g urad dal; 500g water; 300g potato; 120g onion; 25g coconut oil; 5g mustard seed; 12g curry leaves; 4g turmeric; 8g salt|Ferment dosa batter; Make potato masala with turmeric; Spread dosa and fill; Fold and serve|600|30|breakfast,popular
Medu Vada|मेदु वड़ा|South Indian|south|veg|fried|5|piece|200g urad dal; 150g water; 60g sunflower oil; 15g curry leaves; 20g green chili; 5g salt|Soak urad dal 4 hours; Grind fluffy without much water; Shape rings; Deep fry golden|240|20|tiffin,fried
Upma|उपमा|South Indian|south|veg|grain|4|bowl|200g suji; 500g water; 100g onion; 25g coconut oil; 5g mustard seed; 15g curry leaves; 20g cashew; 5g salt|Dry roast suji; Temper mustard curry leaves and onion; Add water then suji; Stir till fluffy|5|18|breakfast
Poha|पोहा|Maharashtrian|west|veg|grain|4|bowl|200g poha; 150g water; 120g onion; 80g potato; 25g sunflower oil; 5g mustard seed; 20g peanut; 12g curry leaves; 4g turmeric; 5g salt; 20g lemon juice|Rinse poha and drain; Temper mustard peanuts curry leaves; Add onion potato turmeric; Fold poha and steam 3 minutes|10|15|breakfast
Pongal|பொங்கல்|South Indian|south|veg|mixed|4|bowl|180g rice raw; 80g moong dal; 600g water; 35g ghee; 6g cumin seed; 15g curry leaves; 20g cashew; 6g salt|Roast moong dal; Cook with rice till soft; Temper cumin pepper cashew in ghee; Mix through|10|30|breakfast,tiffin
Rava Idli|रवा इडली|South Indian|south|veg|grain|6|idli|200g suji; 200g curd; 100g water; 20g ghee; 5g mustard seed; 20g cashew; 12g curry leaves; 5g salt; 3g baking soda|Roast suji; Mix with curd and tempering; Rest 20 minutes; Steam 12 minutes|30|15|breakfast
Uttapam|उत्तपम|South Indian|south|veg|grain|5|piece|300g rice raw; 100g urad dal; 500g water; 120g onion; 100g tomato; 30g sunflower oil; 6g salt|Use thick dosa batter; Pour and top with onion tomato; Cook covered till set|600|20|breakfast
Dhokla|ઢોકળા|Gujarati|west|veg|legume|6|piece|200g besan; 200g water; 60g curd; 20g sunflower oil; 20g sugar; 5g salt; 3g baking soda; 20g lemon juice; 5g mustard seed|Make batter and rest; Add eno and steam 15 minutes; Temper mustard and pour over|20|20|steamed,snack
Khandvi|ખાંડવી|Gujarati|west|veg|legume|5|piece|100g besan; 250g curd; 250g water; 20g coconut oil; 5g mustard seed; 12g curry leaves; 4g salt; 30g coconut fresh|Whisk besan curd and water smooth; Cook stirring till thick; Spread thin and roll; Temper and garnish|10|25|snack
Thepla|થેપલા|Gujarati|west|veg|grain|8|piece|250g atta; 100g fenugreek leaves; 60g curd; 30g sunflower oil; 4g turmeric; 5g salt; 100g water|Knead dough with methi and curd; Roll thin; Roast with oil|20|25|travel
Handvo|હાંડવો|Gujarati|west|veg|mixed|6|piece|150g rice raw; 100g chana dal; 150g curd; 150g bottle gourd; 30g sunflower oil; 5g mustard seed; 6g salt; 4g turmeric|Grind soaked rice and dal; Ferment with curd; Fold grated gourd; Bake or pan-cook till crusted|480|45|baked
Pav Bhaji|पाव भाजी|Maharashtrian|west|veg|street|5|plate|300g potato; 200g cauliflower; 150g green peas; 200g tomato; 150g onion; 80g butter; 60g capsicum; 12g garlic; 8g salt; 8g garam masala; 5 piece pav bun|Boil and mash vegetables; Cook masala in butter; Add mash and simmer; Toast pav in butter|20|30|street,mumbai
Vada Pav|वड़ा पाव|Maharashtrian|west|veg|street|5|piece|300g potato; 100g besan; 60g sunflower oil; 12g garlic; 20g green chili; 5g mustard seed; 12g curry leaves; 6g salt; 5 piece pav bun|Make spiced potato balls; Dip in besan batter and fry; Serve in pav with chutney|20|25|street,mumbai
Bhel Puri|भेल पूरी|Maharashtrian|west|veg|street|4|plate|120g poha; 100g onion; 100g tomato; 80g potato; 30g sev; 40g tamarind; 20g coriander leaves; 20g lemon juice; 5g salt|Mix puffed rice with chopped vegetables; Add chutneys just before serving; Top with sev|15|0|street,mumbai
Samosa|समोसा|Fast Food|pan|veg|fried|6|piece|200g maida; 60g sunflower oil; 350g potato; 80g green peas; 40g sunflower oil; 6g cumin seed; 8g garam masala; 7g salt; 100g water|Make stiff dough with oil; Cook spiced potato filling; Shape cones and fill; Deep fry on low heat|30|30|street,fried
Aloo Paratha|आलू पराठा|Punjabi|north|veg|grain|5|paratha|250g atta; 150g water; 350g potato; 80g onion; 20g coriander leaves; 40g ghee; 6g garam masala; 7g salt|Knead soft dough; Mash potato with spices; Stuff and roll; Roast with ghee|20|25|stuffed,breakfast
Paneer Paratha|पनीर पराठा|Punjabi|north|veg|grain|5|paratha|250g atta; 150g water; 250g paneer; 60g onion; 35g ghee; 5g garam masala; 6g salt|Knead dough; Crumble paneer with spices; Stuff and roll gently; Roast with ghee|20|20|stuffed,protein
Plain Paratha|पराठा|North Indian|north|veg|grain|5|paratha|250g atta; 150g water; 50g ghee; 5g salt|Knead dough and rest; Roll layered triangles; Roast with ghee|15|20|staple
Roti|रोटी|North Indian|north|veg|grain|8|roti|300g atta; 190g water; 4g salt|Knead soft dough; Rest 20 minutes; Roll and roast on tawa; Puff on flame|20|20|staple
Bhatura|भटूरा|Punjabi|north|veg|fried|6|piece|300g maida; 80g curd; 120g water; 15g sugar; 6g salt; 100g sunflower oil|Ferment maida dough with curd; Roll oval; Deep fry till puffed|180|20|fried
Puri|पूरी|North Indian|north|veg|fried|8|piece|250g atta; 130g water; 5g salt; 90g sunflower oil|Make stiff dough; Roll small discs; Deep fry pressing to puff|15|20|festival,fried
Naan|नान|Punjabi|north|veg|grain|5|piece|300g maida; 100g curd; 100g water; 5g yeast; 15g sugar; 6g salt; 30g butter|Proof dough 2 hours; Shape teardrops; Bake on hot tawa or tandoor; Brush butter|120|15|restaurant
Kadhi Pakora|कढ़ी पकौड़ा|Punjabi|north|veg|dairy|5|bowl|100g besan; 400g curd; 600g water; 100g onion; 40g sunflower oil; 4g turmeric; 5g mustard seed; 12g curry leaves; 7g salt|Whisk curd and besan smooth; Simmer 30 minutes; Fry onion besan pakoras; Add pakoras and temper|15|45|comfort
Gujarati Kadhi|ગુજરાતી કઢી|Gujarati|west|veg|dairy|4|bowl|40g besan; 400g curd; 500g water; 20g ghee; 20g jaggery; 5g mustard seed; 12g curry leaves; 5g salt; 8g ginger|Whisk curd besan and water; Simmer without boiling hard; Add jaggery; Temper with ghee|10|20|sweet-sour
Misal|मिसळ|Maharashtrian|west|veg|legume|4|plate|200g moong dal; 500g water; 150g onion; 120g tomato; 40g sunflower oil; 12g garlic; 8g garam masala; 40g poha; 7g salt|Sprout and cook the usal; Make spicy kat gravy; Assemble with farsan and onion|720|40|street,spicy
Khichdi|खिचड़ी|North Indian|pan|veg|mixed|4|bowl|150g rice raw; 100g moong dal; 700g water; 25g ghee; 5g cumin seed; 4g turmeric; 6g salt|Wash rice and dal; Pressure cook with turmeric; Temper cumin in ghee and mix|10|20|comfort,easy-digest
Sabudana Khichdi|साबूदाणा खिचडी|Maharashtrian|west|veg|grain|4|bowl|200g sabudana; 150g potato; 60g peanut; 30g ghee; 20g green chili; 5g cumin seed; 5g salt; 20g lemon juice|Soak sabudana 5 hours; Roast and crush peanuts; Toss with potato and spices|300|15|fasting
Rava Kesari|रवा केसरी|South Indian|south|veg|sweet|5|bowl|150g suji; 150g sugar; 400g water; 80g ghee; 20g cashew; 15g raisin|Roast suji in ghee; Boil water with sugar; Combine and stir till glossy; Add nuts|5|20|festival
Gajar Halwa|गाजर हलवा|Punjabi|north|veg|sweet|5|bowl|600g carrot; 400g milk; 120g sugar; 60g ghee; 40g khoya; 25g cashew|Grate carrots; Cook in milk till dry; Add sugar ghee and khoya; Finish with nuts|20|60|winter,festival
Kheer|खीर|North Indian|pan|veg|sweet|5|bowl|80g rice raw; 800g milk; 100g sugar; 20g cashew; 20g raisin; 10g ghee|Simmer rice in milk till creamy; Add sugar and nuts; Cook 10 more minutes|5|50|festival
Suji Halwa|सूजी हलवा|North Indian|pan|veg|sweet|5|bowl|150g suji; 130g sugar; 400g water; 90g ghee; 20g cashew|Roast suji in ghee till aromatic; Add hot sugar syrup; Stir till it leaves the pan|5|20|prasad
Besan Laddu|बेसन लड्डू|North Indian|pan|veg|sweet|10|piece|250g besan; 130g sugar; 120g ghee; 20g cashew|Roast besan in ghee 20 minutes; Cool then mix powdered sugar; Shape laddus|5|25|festival
Gulab Jamun|गुलाब जामुन|North Indian|pan|veg|sweet|10|piece|150g khoya; 40g maida; 200g sugar; 200g water; 100g sunflower oil|Knead khoya and maida; Shape smooth balls; Fry on low heat; Soak in sugar syrup|20|30|festival
Shrikhand|શ્રીખંડ|Gujarati|west|veg|sweet|4|bowl|600g curd; 120g sugar; 20g cashew|Hang curd 6 hours; Whisk with sugar; Chill and garnish|360|0|festival
Masala Chai|मसाला चाय|North Indian|pan|veg|beverage|4|cup|400g water; 250g milk; 40g sugar; 8g ginger; 3g garam masala|Boil water with ginger and spices; Add tea leaves; Add milk and sugar; Simmer and strain|3|8|everyday
Sweet Lassi|मीठी लस्सी|Punjabi|north|veg|beverage|3|glass|500g curd; 200g water; 80g sugar|Blend curd water and sugar; Serve chilled|5|0|summer
Mango Lassi|आम लस्सी|Punjabi|north|veg|beverage|3|glass|400g curd; 300g mango; 60g sugar; 100g milk|Blend everything till smooth; Serve over ice|5|0|summer
Chaas|છાશ|Gujarati|west|veg|beverage|4|glass|300g curd; 600g water; 8g ginger; 12g curry leaves; 4g salt; 10g coriander leaves|Whisk curd with water; Add crushed aromatics and salt; Strain and chill|5|0|digestive
Badam Milk|बादाम दूध|North Indian|pan|veg|beverage|3|glass|600g milk; 60g almond; 60g sugar|Soak and grind almonds; Simmer with milk; Sweeten and chill or serve hot|30|15|winter
Vegetable Upma Oats|ओट्स उपमा|Healthy Foods|pan|veg|grain|4|bowl|180g oats; 450g water; 100g carrot; 80g green peas; 100g onion; 20g sunflower oil; 5g mustard seed; 12g curry leaves; 5g salt|Dry roast oats; Temper and saute vegetables; Add water then oats; Cook 5 minutes|10|15|healthy,breakfast
Ragi Dosa|రాగి దోస|Healthy Foods|south|veg|grain|5|dosa|200g ragi flour; 80g rice raw; 60g urad dal; 500g water; 6g salt; 25g coconut oil|Grind rice and dal; Mix ragi flour; Ferment 6 hours; Spread and cook|360|20|healthy,millet
Sprouts Salad|स्प्राउट्स सलाद|Healthy Foods|pan|vegan|legume|4|bowl|200g moong dal; 100g onion; 100g tomato; 40g lemon juice; 20g coriander leaves; 4g salt|Sprout moong 2 days; Steam 5 minutes; Toss with vegetables and lemon|2880|5|healthy,protein
Paneer Bhurji|पनीर भुर्जी|Punjabi|north|veg|dairy|4|bowl|250g paneer; 120g onion; 120g tomato; 60g capsicum; 25g sunflower oil; 5g garam masala; 6g salt|Saute onion capsicum; Add tomato and spices; Crumble paneer through and toss|10|15|protein,breakfast
Chana Chaat|चना चाट|Healthy Foods|pan|veg|legume|4|bowl|200g kabuli chana; 100g onion; 100g tomato; 40g lemon juice; 30g coriander leaves; 5g salt; 4g garam masala|Boil soaked chana; Cool and toss with vegetables; Season with lemon and chaat masala|480|30|healthy,protein
Vegetable Khichdi|सब्ज़ी खिचड़ी|Healthy Foods|pan|veg|mixed|4|bowl|150g rice raw; 100g moong dal; 700g water; 100g carrot; 80g green peas; 100g bottle gourd; 25g ghee; 5g cumin seed; 6g salt; 4g turmeric|Wash grains; Pressure cook with vegetables; Temper cumin in ghee|10|22|healthy,comfort
Oats Chilla|ओट्स चीला|Healthy Foods|pan|veg|grain|4|piece|150g oats; 100g besan; 350g water; 100g onion; 80g tomato; 20g sunflower oil; 5g salt|Blend oats to flour; Mix with besan water and vegetables; Cook thin pancakes|10|15|healthy,protein
Masala Omelette|मसाला ऑमलेट|Eggs|pan|egg|egg|2|piece|4 piece egg; 80g onion; 60g tomato; 20g sunflower oil; 15g green chili; 4g salt; 10g coriander leaves|Beat eggs with vegetables; Pour into hot pan; Fold when set|5|8|breakfast,protein
Tandoori Roti|तंदूरी रोटी|Punjabi|north|veg|grain|6|roti|300g atta; 180g water; 20g curd; 5g salt; 20g butter|Knead with curd; Rest 30 minutes; Slap onto tandoor wall; Brush butter|30|15|restaurant
Puran Poli|पुरण पोळी|Maharashtrian|west|veg|sweet|6|piece|200g chana dal; 180g jaggery; 200g atta; 120g water; 50g ghee; 3g garam masala|Cook chana dal and mash with jaggery; Make soft dough; Stuff and roll; Roast with ghee|20|45|festival
Modak|मोदक|Maharashtrian|west|veg|sweet|10|piece|200g rice raw; 200g water; 150g coconut fresh; 120g jaggery; 20g ghee|Make rice flour dough; Cook coconut jaggery filling; Shape and steam 12 minutes|30|30|ganesh,festival
Coconut Chutney|நாரிகேல் சட்னி|South Indian|south|veg|vegetable|6|spoon|150g coconut fresh; 30g chana dal; 100g water; 20g coconut oil; 5g mustard seed; 12g curry leaves; 4g salt; 15g green chili|Grind coconut chana dal and chili; Add water to loosen; Temper mustard and curry leaves|10|5|tiffin,accompaniment
Tomato Chutney|టమాటా పచ్చడి|South Indian|south|veg|vegetable|6|spoon|250g tomato; 80g onion; 25g coconut oil; 12g garlic; 5g mustard seed; 12g curry leaves; 5g salt; 15g green chili|Saute onion garlic and tomato; Cool and grind; Temper mustard seeds|10|15|tiffin,accompaniment
Mint Coriander Chutney|हरी चटनी|North Indian|pan|vegan|vegetable|8|spoon|60g mint leaves; 80g coriander leaves; 30g lemon juice; 20g green chili; 12g garlic; 4g salt; 50g water|Blend all ingredients with minimal water; Adjust salt and lemon|10|0|accompaniment
